index	category	username	nick_name	remark
1	system_or_helper	notifymessage	服务通知	
2	system_or_helper	fmessage	朋友推荐消息	
3	system_or_helper	medianote	语音记事本	
4	system_or_helper	floatbottle	漂流瓶	
5	empty_nickname	wxid_5f1s02d8kdn122		
6	official_account_gh	gh_158599a58f81	学校通知	
7	official_account_gh	gh_18d7892b261b	新的学校邀请	
8	official_account_gh	gh_c47f969ffbb9	只为你倾心	
9	official_account_gh	gh_5dee7e3a98bf	视角传媒消息	
10	official_account_gh	gh_d1bfb8e20034	视角传媒	
11	official_account_gh	gh_8f02b02a074c	冠军联盟	
12	official_account_gh	gh_d14a7c0399c4	冠军联盟消息	
13	official_account_gh	gh_e031bfa54682	可能的同事	
14	official_account_gh	gh_5abd22114258	罗仕兰	
15	official_account_gh	gh_ee89cfda9d54	罗仕兰消息	
16	official_account_gh	gh_8539d8506a04	使用企业微信的通知	
17	system_or_helper	mphelper	公众平台安全助手	
18	official_account_gh	gh_b7e04442d834	秀才的想念	
19	official_account_gh	gh_ecc378f6fb37	东瑞情感	
20	official_account_gh	gh_26264e6f6e77	放纵着忧伤	
21	official_account_gh	gh_e456ddc1c022	流年情书	
22	official_account_gh	gh_d1373016ac87	半生情书馆	
23	official_account_gh	gh_c85f78792c5a	三生公司消息	
24	official_account_gh	gh_203ac12aa674	可能的同事	
25	official_account_gh	gh_806b464fccf5	使用企业微信的通知	
26	empty_nickname	wxid_y3q5ce844jzw11		
27	system_or_helper	filehelper	文件传输助手	
28	official_account_gh	gh_bac53a6d3b5d	未命名企业消息	
29	official_account_gh	gh_95fc28e62c87	三生公司	
30	official_account_gh	gh_c23234e602a2	梦想追求团队消息	
31	official_account_gh	gh_85086e08860e	可能的同事	
32	official_account_gh	gh_76a81d18a4b1	使用企业微信的通知	
33	official_account_gh	gh_3c97dc648184	学习团队消息	
34	official_account_gh	gh_d13783352f4d	可能的同事	
35	official_account_gh	gh_3dfda90e39d6	微信支付	
36	official_account_gh	gh_1f5fc1291984	使用企业微信的通知	
37	official_account_gh	gh_616db3ecdc7b	东城欣鲜购情感工作室消息	
38	official_account_gh	gh_a39142b95cb7	未命名企业消息	
39	official_account_gh	gh_78e4d796d6df	未命名企业	
40	official_account_gh	gh_e2810c8ca310	梦想追求团队	
41	official_account_gh	gh_a7be53fb45be	使用企业微信的通知	
42	official_account_gh	gh_67fa48155c67	三生大健康产业有限公司消息	
43	official_account_gh	gh_eab7564f5cfa	可能的同事	
44	official_account_gh	gh_c6589664812a	使用企业微信的通知	
45	official_account_gh	gh_3bf332308f26	Mike消息	
46	official_account_gh	gh_d971a7d6e9f0	三生中国健康大产业消息	
47	official_account_gh	gh_f4f24c6ab957	可能的同事	
